ip_address,country_code,country,city,latitude,longitude,mystery_value
93.146.179.29,CL,Timor-Leste,DuBuqueville,5.0133752042,-23.1850831294,1006020513
168.222.168.189,AI,Saint Martin,North Kacey,6.9397606203,69.1263042411,9407099678
171.214.125.105,FI,Oman,New Damienton,-62.4418514011,108.5458845337,4845488645
199.83.23.135,CY,El Salvador,West Remingtonmouth,-44.2948495901,62.9361400519,8933136000
129.157.239.160,PG,Mongolia,North Randallstad,54.0349393482,-164.1072487079,9513533443
95.238.245.87,SE,"Virgin Islands, British",Arnoville,17.6974944962,-167.6604863987,2100922648
158.21.179.225,PF,Faroe Islands,Cassandrefurt,-48.393949551,56.6418835139,8195812649
166.197.237.94,ID,Democratic People's Republic of Korea,East Clayshire,21.8164696255,-117.6998803527,7921013443
33.33.172.207,KM,Uganda,Gladysbury,-60.1328919684,-154.8359750227,9055697852
214.191.103.163,NI,Hungary,Paulchester,-89.8308525232,-111.611487937,6260110764
78.76.149.33,GA,Togo,Mckenziestad,59.2723891004,62.416538229,5917731504
202.116.37.29,CO,Nauru,Brandonfurt,64.2436623902,-20.4631352123,1161875914
17.117.193.183,YE,Saint Vincent and the Grenadines,Port Pearlieburgh,58.8254040112,41.0794983587,3033785414
166.45.46.111,GQ,Aruba,Thieltown,34.6847047157,-79.3695938707,7977049371
73.70.41.217,NP,Micronesia,Harrishaven,-33.0030856761,80.815453231,8555059685
181.42.59.237,SB,Antarctica (the territory South of 60 deg S),Schultzborough,-38.1424726213,-113.8404647135,3458308641
183.232.64.87,LB,Saint Martin,South Nina,-19.6105319467,161.0033760925,8224686449
187.21.225.239,EE,Isle of Man,Electaburgh,72.7554665823,81.1661192499,6187824674
157.194.154.5,BV,Turkey,Olenberg,23.2086468434,-162.9880278393,3500286465
18.234.118.21,UZ,Oman,Casperfort,40.0671934998,-127.6902970959,2455022124
145.223.159.169,LY,Ukraine,New Jamey,-72.7244248391,-179.6127004299,7552066734
,SA,Andorra,,-32.9992959853,-116.3330468186,0
85.68.71.24,PA,Netherlands,New Alessiaview,-1.5710614894,174.5796302115,3326541859
113.69.234.202,ZA,Mauritania,South Kenyaside,34.0221861186,30.4921139273,1686097625
172.55.161.83,KR,Iraq,Kochton,-71.8370605068,-1.3340680343,5639852868
196.36.78.105,GN,Portugal,Emmerichstad,-59.6660018737,-7.2156572162,4249322458
152.81.105.178,WF,Uruguay,Elysefurt,58.5208322889,77.2050556574,3013755946
85.155.38.239,BH,Cape Verde,Lake Arafurt,-15.5222945183,-109.9785901285,5691563078
114.203.215.105,GH,Greece,Gerdamouth,,,0
61.253.139.38,HN,Vanuatu,East Marvinton,-49.2294975322,-97.9496883008,3837416119
49.113.216.4,TN,Japan,Bernhardmouth,33.9137225981,-161.6266892043,4697404274
54.87.166.119,DJ,Norfolk Island,Port Whitneyberg,24.86707848,20.7913848638,5927877703
172.111.15.44,OM,French Southern Territories,North Margaretta,-62.7970482596,-121.1250357401,3216028735
31.67.30.64,MX,Afghanistan,New Aniyaberg,-30.5660912492,22.7165410227,9048439075
208.14.138.153,GT,French Southern Territories,Boscoville,-62.279366218,-89.9938557597,9080623268
144.246.19.231,CV,Nepal,South Lester,-32.8545338285,59.3900415229,3867709491
6.218.143.231,SH,Mali,Armstrongview,22.7813896715,-173.0703458784,1611162525
26.14.194.4,PF,Mayotte,New Santaborough,37.2828817036,16.8157786792,2907760332
160.231.216.64,TJ,Northern Mariana Islands,Lillieland,-11.0602758803,151.4978080084,4081670240
145.132.241.128,BV,Macedonia,Port Ezekielberg,54.8619942595,-150.6904848661,4774840225
159.152.219.85,BE,Guinea,Howellville,34.1183816167,151.8183697704,3335509816
173.18.223.139,TJ,Kyrgyz Republic,Heavenmouth,-35.8964173568,25.1926060161,6694912492
163.56.76.226,KG,Greenland,Louchester,-48.6772240051,-94.0543909174,3213219987
158.126.168.233,GS,Bermuda,West Lupe,,,0
197.80.232.158,PG,Togo,New Rosarioburgh,-28.8688912934,78.0231311228,5413929070
8.251.103.246,BB,Mongolia,Imogeneton,74.9966181861,46.3701361885,6589326558
171.79.24.198,NG,Egypt,Bergstromtown,-85.2181569463,42.5522260297,4960574088
219.133.229.196,TK,Samoa,Rosalynton,,,0
187.19.183.215,MY,Democratic People's Republic of Korea,Zoieville,-12.5124493442,-140.903269052,5166881442
150.254.169.177,GY,Kuwait,Lynnborough,-0.8720226679,-116.7525914329,5662754780
80.222.180.68,VN,Haiti,Schmidtborough,32.8855615633,54.6241212763,8500566148
108.211.192.231,HM,Sweden,Hegmannbury,24.4268724335,20.33161693,3770753632
161.249.176.100,CU,Guernsey,Emmetberg,-44.4258633817,-96.0431656625,9188044536
135.246.170.202,IE,British Indian Ocean Territory (Chagos Archipelago),Koreyhaven,11.1198635258,147.8701390604,7802299956
95.230.84.228,BR,Western Sahara,Reynoldsstad,64.6893097888,177.0134457547,7345521238
19.90.199.30,HU,Netherlands Antilles,Simonismouth,-85.6784195663,100.6207884319,2985654798
12.208.197.109,CD,Cote d'Ivoire,Coleburgh,52.965547816,-50.5482083545,7683067852
87.215.113.30,GG,"Virgin Islands, British",Port Zander,-74.4781504826,-139.7672497562,6182761798
83.132.49.249,NI,Guatemala,East Bradenshire,50.7768853296,-20.5824879528,7725124144
103.15.36.112,,,,0,0,1129212857
26.159.194.191,AO,Azerbaijan,Jayceland,-44.8127721635,104.5314190229,7838237030
14.26.247.22,BF,Armenia,Tyrelville,-0.1396004356,-46.3868902705,6015979265
75.105.150.134,DJ,Montserrat,Forestchester,38.8325686294,56.9147080705,4436039674
154.184.241.188,OM,Burundi,Port Meghanbury,81.490428826,133.4088825629,5475975282
5.24.39.235,GH,Venezuela,Port Kiana,-8.3769923335,115.1179161784,4580813328
200.215.178.159,VE,Iran,Genesisbury,56.956677165,-144.0425815859,1812077239
27.159.253.46,GR,Heard Island and McDonald Islands,Teaganland,-20.6009961936,-47.0586095107,5024413198
157.25.14.68,AU,Turkey,Warrenberg,-22.391592932,-119.5020310783,8209323964
16.2.61.160,GD,Switzerland,New Zackaryport,-21.0949914903,-79.3440536349,1979190428
61.66.153.37,GA,Anguilla,Ethastad,6.7824126581,33.913530681,8112968832
79.11.208.191,ZW,Isle of Man,New Haven,65.4807017188,-156.4432818457,4158626515
199.92.198.136,PA,Malawi,North Vivianfort,-1.2431249512,24.7200475122,5490274434
22.75.65.204,BH,Kuwait,Larkinton,-53.3217912606,-27.8959618369,8567102757
2.113.78.43,UM,Pitcairn Islands,Leschside,7.0267890698,-72.2715343796,4194083598
75.232.140.215,AF,Denmark,South Elsastad,-83.3388067284,-166.7075135914,3778147407
99.80.10.187,ZM,Germany,West Emilyfort,-1.2105001209,-134.1164233676,7599285521
95.84.23.184,US,Ireland,New Devon,0.4727269273,169.0038898317,5571683773
153.25.138.246,LR,Puerto Rico,O'Konville,-57.474950963,-63.3612518414,4454531038
147.247.204.232,TJ,Syrian Arab Republic,Nienowfurt,38.8733458902,115.7353969484,3708799997
42.97.131.135,ML,Zimbabwe,Lake Humberto,-36.4945042509,25.9001494877,3437115838
161.101.154.244,TK,Montenegro,Jaydonview,,,0
201.226.19.14,JO,Norway,South Jordan,45.9527285883,15.0891865221,8670477060
188.27.142.167,TM,Latvia,East Nolahaven,-63.949433938,-14.3517427993,2740545924
146.40.212.181,CF,Romania,South Alf,84.7003857851,-145.8016653951,5546697437
82.40.24.169,GW,Uganda,Willieview,26.4376836787,-130.6323495311,2968105737
192.158.176.51,PY,Congo,North Heaven,-12.0584452248,140.0512325804,1122069202
72.20.252.201,TG,Switzerland,Considinechester,-7.2392381899,125.1603752494,9739790452
145.217.219.29,RU,Lesotho,Murphyview,40.0372114474,120.8176568698,8422951842
45.153.188.188,GU,Yemen,Eastonmouth,38.4111693487,30.1342626428,8733914498
125.208.144.178,AD,Gabon,Framifort,-5.368698233,-87.2237241333,7374885871
33.18.58.249,CU,Brunei Darussalam,East Jessieview,60.1621576134,-12.0197236725,9783301957
199.174.42.41,PL,Paraguay,Kihnside,-0.2735161147,81.795814603,5276895538
73.218.63.175,SA,Lao People's Democratic Republic,New Adelaport,-35.5292669941,-81.8428278086,9830474707
18.130.5.25,BB,Norway,North Emie,-32.1799893904,-95.0974035951,3565806789
207.122.105.96,AF,Germany,Erdmantown,50.610548898,-35.6638550857,3782861952
15.156.129.169,NG,Trinidad and Tobago,Malikaside,-41.1142052586,-136.2114475868,8555205129
68.35.19.214,VN,Vanuatu,Albaville,-3.1048315545,-163.9683913067,8668505441
27.193.42.225,LS,Saudi Arabia,West Salvatore,39.1806458879,-145.5002216994,6724651993
21.159.102.229,KG,Comoros,Turcottefurt,27.9466556572,-30.3645679447,5035383289
54.124.186.135,TW,Germany,East Norbertmouth,22.6559385991,-13.5379397296,7885824575
97.136.69.33,SK,Mongolia,Ivatown,-78.9224028133,54.0583665639,5232479512
152.103.232.57,GU,Jersey,Germanton,-55.8049748461,122.7420652844,2228030554
74.139.32.88,GA,Iceland,Philipfurt,-47.7370787222,-45.8822190471,6053536556
43.53.23.147,UG,Iran,Kipfort,-26.9341550119,-144.2364125207,8733592584
,SB,Andorra,,18.4247243241,77.812103139,0
160.189.172.181,RU,Luxembourg,Willyhaven,-15.7845373568,133.4127873083,8231490433
76.205.19.17,US,Heard Island and McDonald Islands,Port Velma,-39.5702055381,-153.4704423465,7013732222
17.244.22.106,AU,Guam,Lake Ramon,56.8914868197,54.6011019581,5705343054
62.148.30.4,US,Peru,Lake Charlotteborough,43.2828307666,-88.6792130681,2223312908
78.96.174.139,CL,Bhutan,West Sandra,-8.709495979,133.1635773383,9043661959
181.193.226.149,NR,Greece,Rosenbaummouth,77.4364211124,133.1668384404,4796669787
218.124.237.196,GL,Trinidad and Tobago,Jacynthetown,-50.1856252126,-107.6213918671,1123422808
144.125.211.249,MF,French Southern Territories,Daphneyshire,-56.4240800978,-176.7986985785,6800498245
42.74.23.243,CY,Taiwan,Davisfurt,-39.1962370814,127.1464280777,7994814286
85.68.71.24,PA,Netherlands,New Alessiaview,-1.5710614894,174.5796302115,3326541859
209.63.238.119,MZ,Denmark,New Murrayton,67.2965148615,-107.9413261198,6279607531
148.147.205.34,MW,Pakistan,Lake Darienshire,-74.7701346125,74.4369402271,7007239844
58.197.58.92,PS,Cuba,Botsfordberg,-26.1767999733,-149.3765652275,3421136676
26.36.254.17,BY,Montenegro,Delphinetown,-5.2954976736,49.1265067549,9285335151
35.113.130.151,ST,Austria,South Donnellborough,-3.9797800835,-136.5344448694,5781538777
217.247.131.174,CD,Bouvet Island (Bouvetoya),Grimesshire,30.2101425057,-155.2463078818,8993340937
187.97.200.93,ER,American Samoa,Lake Carolebury,63.3197073149,54.7469503609,1201910643
,GT,Tanzania,,81.1657776682,-61.3634390474,0
124.96.104.25,SK,Uganda,Prosaccostad,25.1982886081,-121.9281724568,7787985359
151.79.56.153,BF,Belgium,Jastport,-29.1045865094,163.2021512198,7865444549
180.219.213.135,,,,0,0,6840170851
85.68.71.24,PA,Netherlands,New Alessiaview,-1.5710614894,174.5796302115,3326541859
188.207.236.95,MR,Niger,Port Reneefurt,-18.3375822423,-78.4897932306,2499481722
149.40.152.32,42,Afghanistan,North Jordystad,-16.0350903387,-96.6213325692,0
38.111.125.236,BH,Bahrain,Sethfurt,-46.8338342125,175.3046360867,9875158070
124.26.108.46,BW,Kazakhstan,Durganburgh,-39.5728935768,-95.0763597973,7532604108
15.73.79.105,DM,Turkmenistan,North Cassandreborough,19.0971503547,96.7310230369,9350077403
122.55.247.79,TJ,Gibraltar,O'Reillymouth,-39.4567854188,-163.4677358361,7923916355
160.181.159.102,CZ,Saint Pierre and Miquelon,Brendonchester,32.2455970011,-179.0827658738,9665662828
182.149.41.124,JM,Saint Pierre and Miquelon,North Shaynashire,34.9040731258,79.6591121915,5176693062
52.153.194.254,GM,Niger,North Beaulahville,-82.8329556483,-26.4356425071,8357858284
8.32.178.53,GU,Switzerland,New Dasia,45.8255467334,42.8091654315,7069129401
60.215.241.36,TN,Argentina,South Dollyview,17.5703003141,-37.1242881193,6239789692
87.43.82.198,LS,Romania,Mooreton,39.9080100049,42.661021136,8040600321
52.115.146.153,PW,Syrian Arab Republic,Rooseveltland,48.6971326881,-107.9761827268,8331229803
191.55.176.18,VE,Norway,Ashleychester,-12.6170408923,175.6322215203,9630970150
7.91.69.58,FK,Senegal,Lake Sheridanside,-67.9901835922,31.2432467159,1128407832
208.133.4.126,EC,Kyrgyz Republic,North Rosalindberg,9.7254869854,155.7736644728,6013188221
182.254.182.10,GR,Papua New Guinea,East Davion,76.2413208901,118.216098274,5619054915
111.165.65.142,DJ,Liberia,North Taurean,52.3625912147,179.6257102148,5018500009
206.170.134.214,PG,French Guiana,South Casey,-89.3427436488,172.7861855883,6839303608
104.18.73.171,BT,Dominican Republic,Murphychester,85.779809663,-111.6151144314,6524173778
99.247.14.253,LR,Solomon Islands,Jobury,-79.7019978004,108.3197319331,1160239437
193.172.90.168,MG,Niue,Dagmarville,4.316195094,161.2162981732,2518335549
154.96.24.2,IM,Montserrat,Sophieland,-56.1936081409,-44.6654526227,6736897896
142.234.134.185,BO,Belgium,North Reyesfort,70.2622690811,21.8032302404,4123100100
135.132.113.221,KR,Lao People's Democratic Republic,East Gerdaview,-54.6585355557,22.1995028276,7936333336
193.250.218.149,ME,Brazil,New Stacymouth,-13.6579786513,10.7920097565,2376021209
55.47.78.186,MG,Dominica,New Ana,-82.2217350861,88.7434174497,3860401691
138.52.172.18,EU,Comoros,Strosintown,latitude,longitude,0
155.215.129.8,LR,Bolivia,West Keaton,49.5762945282,-140.9792951434,7574288569
54.106.248.74,NA,Yemen,Port Cleofurt,-85.9544801981,59.495180656,8112161946
69.161.69.103,SI,Ghana,West Delbertbury,-59.8817271623,155.8105717571,3994442535
68.230.152.105,MD,Madagascar,Kozeyville,-5.3076976009,68.7862081305,1727153944
5.189.138.215,VN,Saint Lucia,Haagfurt,-41.0284303028,-49.6104647231,4193701331
140.2.71.152,EH,Turks and Caicos Islands,West Damion,4.5909010471,153.4742262175,8560619840
186.239.253.154,IO,Russian Federation,Leonardport,-29.2550858845,1.9222367907,8161302154
217.121.148.207,BB,Kuwait,Kreigerberg,-19.4588275743,-1.2659100105,5852993967
175.98.242.118,NE,Malaysia,New Willardton,67.6582501316,-109.6477779579,1144000058
5.2.91.149,BO,Benin,East Imachester,49.958026136,-74.4534481774,5188724702
171.119.94.194,NG,Saint Vincent and the Grenadines,North Virgiechester,52.7330023944,-6.0130143012,1435548020
218.176.75.204,BO,Cook Islands,Jackelinetown,-66.3927524179,99.1893537906,6465099333
46.65.237.168,BI,Malta,Port Kareemchester,-76.2402453497,64.8254257364,3525682477
205.65.200.131,RO,Venezuela,Patriciashire,-26.9026082394,-91.6611317736,9795416379
174.39.186.155,FO,Singapore,South Rebeccamouth,8.9527906569,9.0342810904,3514706252
111.22.145.7,SC,Mauritania,West Laverne,87.2041839296,-55.6848475643,1089628167
25.26.20.240,,,,0,0,6952988492
38.63.184.131,UZ,Swaziland,East Reneshire,-25.7255202219,89.0757540556,6773341149
169.218.181.152,GW,Iraq,Maximilliamouth,9.745992567,133.9406972222,6033094452
128.40.146.96,MD,Italy,Breanaland,-42.5588779512,-8.2633634301,8179067796
72.29.206.185,HT,Tokelau,New Cathrine,72.8042856215,32.3397696953,9693586264
85.68.71.24,PA,Netherlands,New Alessiaview,-1.5710614894,174.5796302115,3326541859
27.232.68.77,TN,Togo,Charleston,80.9698624784,-89.6550158579,5190125963
158.159.2.40,TV,Kyrgyz Republic,Beerburgh,-24.3287091243,-75.3060799503,4212253468
212.213.212.11,GT,France,Port Gailshire,35.6231733056,47.1639508699,4765302904
141.162.59.183,MU,Panama,South Thurmanview,,,0
124.203.184.155,KW,Morocco,North Robinfurt,-71.9338364157,-20.7240502002,5158669634
37.32.41.47,OM,Philippines,New Flaviomouth,-85.4045803116,-31.3287766151,7880977958
99.82.45.187,CK,Honduras,Rauton,-11.7097387041,139.0804947719,8714549225
35.162.197.87,VA,Yemen,East Malvina,,,0
160.131.94.12,JE,New Caledonia,Sanfordstad,10.9201502199,139.7602702294,9325733158
22.207.53.129,GE,Libyan Arab Jamahiriya,West Coltenmouth,40.559060046,-37.4805351204,5686384384
213.167.15.242,SS,"Virgin Islands, U.S.",Rohanton,-41.8835735482,-17.8146922701,4541693290
42.109.19.56,CU,Iraq,Ilachester,-23.2846328914,89.7926664462,4702246250
201.212.55.237,BV,Guyana,Stiedemannport,60.8649629123,-146.6063394748,4491928122
207.29.227.195,IN,Cocos (Keeling) Islands,Garnetmouth,-57.926492916,73.5185151138,8573250139
,UY,Slovakia (Slovak Republic),,35.7887670094,146.176709581,0
107.231.14.141,MT,Botswana,Berniestad,-40.7943970887,172.9824234449,5659247890
124.38.10.31,LS,Armenia,North Jedidiahmouth,18.1760699687,101.1903698002,9543113415
152.117.197.233,GT,Greece,East Buster,-69.5514119822,-1.0980532509,8692342282
21.130.112.103,PN,Christmas Island,North Lenna,24.7349200935,-176.2788574309,3884816218
29.143.159.62,GD,Estonia,New Emmanuelleside,35.1369348561,-87.8029897389,2839727876
17.186.70.191,PR,Iraq,Lake Abbiestad,-75.3125331617,123.2478599067,4396099262
57.148.135.117,AZ,Iran,Krystalport,,,0
113.69.151.231,SR,Cameroon,North Danefurt,,,0
165.21.156.250,SD,Armenia,West Antoinette,-41.8565986387,-53.3977455916,9789850415
125.254.33.8,AM,Peru,Medhurstport,0.0018574958,-50.5819160659,6806548548
219.139.169.134,,,,0,0,5480265031
49.171.231.176,QA,British Indian Ocean Territory (Chagos Archipelago),Lake Sistershire,-66.266811304,-21.2760088247,3208092708
148.140.145.44,NL,Palestinian Territory,Armandoborough,-13.8969750436,23.6458387659,6969661492
31.76.99.234,CO,Solomon Islands,Dorcaston,-11.951993564,179.4277771137,4644693111
56.58.120.18,,,,0,0,1375848249
148.94.102.92,RS,Mauritania,Parisianville,-86.5904059809,68.330944799,8159876068
73.66.28.127,GT,Guadeloupe,Lake Ephraimbury,,,0
85.68.71.24,PA,Netherlands,New Alessiaview,-1.5710614894,174.5796302115,3326541859
72.118.12.57,NC,Monaco,North Wayne,11.9450222322,-89.8455656482,5152008349
79.144.63.195,EU,Mauritania,Jadaborough,latitude,longitude,0
86.129.234.223,FM,Croatia,Port Devenfort,-4.318010739,23.9978928659,4573759792
